# tau_s	eta_s	t_dec	visbulknorm
1.014868	0.1093932	155	2.20066697
0.979744	0.1039721	155	2.67285690
1.419468	0.0982639	155	2.80953694
0.954931	0.2334131	155	0.97826390
1.495133	0.2639039	155	0.46738798
1.792935	0.1279634	155	0.33763738
0.931589	0.2184092	155	0.41871781
0.395715	0.1288018	155	0.69361374
0.314318	0.1496088	155	0.44210012
1.207554	0.2161250	155	0.27436977
0.538033	0.2443322	155	2.75689681
0.378524	0.1694863	155	0.17313246
1.723079	0.0939124	155	0.88168824
0.273124	0.1338965	155	2.73893020
1.557886	0.2298210	155	1.48961787
0.555021	0.0892174	155	1.00718773
0.657371	0.1003271	155	0.73008113
0.780044	0.1650791	155	2.46478331
1.415416	0.2021125	155	1.34334891
1.547373	0.1478883	155	1.36284082
1.391972	0.2485994	155	0.20956759
0.950252	0.1384748	155	2.24809018
0.963508	0.2521383	155	2.87844799
0.233154	0.1536169	155	0.18689120
0.183245	0.0856859	155	1.73859730
1.524405	0.1607139	155	1.27525281
1.923326	0.1409740	155	1.83378973
0.293275	0.1031925	155	1.01669077
1.201783	0.2260807	155	2.80033883
0.151419	0.0824404	155	0.87727495
0.322524	0.1728994	155	1.10341428
1.259682	0.1296437	155	0.08724584
0.744954	0.1658600	155	1.21078264
1.716794	0.1153296	155	0.34606407
1.659970	0.2759942	155	2.19109404
1.702684	0.2432848	155	0.03634562
0.655269	0.2132382	155	0.74635286
0.798129	0.1368944	155	2.71028560
0.867568	0.1066166	155	1.41310052
0.679807	0.1229808	155	2.94007762
1.202851	0.1234288	155	1.99896132
0.914654	0.2769877	155	0.85384950
1.346688	0.1195576	155	0.64571567
1.817796	0.2799227	155	0.36177704
0.995228	0.2105637	155	0.58429444
0.434044	0.2571741	155	0.59257870
1.961985	0.1919071	155	2.99898011
1.651864	0.1063169	155	1.67648159
0.640866	0.2109310	155	1.96527339
0.824374	0.1343263	155	0.12248509
1.376601	0.1941068	155	2.92262415
0.329195	0.1100283	155	2.06408750
0.875884	0.0880177	155	1.48255824
1.573623	0.2748426	155	1.78542731
0.471048	0.2175299	155	1.26164250
1.018395	0.1990943	155	1.78711130
0.476215	0.1993350	155	0.99570231
0.200337	0.2009324	155	2.37920228
1.340410	0.2691834	155	0.54520236
0.577969	0.2242457	155	2.13508957
1.162139	0.2721520	155	1.71981302
0.348636	0.1163910	155	2.39748654
1.930300	0.2223012	155	0.39195210
0.384816	0.2263029	155	1.59701210
0.177317	0.1947599	155	1.07915113
1.951192	0.1258126	155	2.23631899
0.899303	0.1089910	155	1.90926761
1.232094	0.1866332	155	1.60650473
1.054014	0.2291624	155	2.43868998
0.730413	0.1870817	155	1.32805087
1.470159	0.1049855	155	2.12390391
1.607809	0.1265666	155	0.69928790
0.445311	0.2762532	155	2.94400119
1.452332	0.1455771	155	2.59551520
1.490366	0.1505883	155	1.94163305
1.189530	0.2093973	155	0.56495639
1.619062	0.2078403	155	2.78847468
0.534487	0.1741356	155	2.61882902
0.782950	0.1175144	155	0.37157560
1.515794	0.2658925	155	1.70323462
0.337214	0.1936470	155	1.99767182
0.542295	0.2132011	155	2.02383036
1.964525	0.1059698	155	0.31106626
1.742257	0.1070774	155	0.73290023
0.993401	0.1288409	155	1.33577487
1.865950	0.1142048	155	0.28255265
1.364698	0.2611509	155	0.51292498
0.345902	0.2703639	155	1.54683273
1.381962	0.1087479	155	2.16508546
0.298509	0.1847222	155	1.29051235
0.152472	0.2089288	155	0.77761707
0.564096	0.2675307	155	2.89857441
1.432550	0.1418862	155	1.82442464
0.279760	0.2347705	155	1.57113146
0.424938	0.0811481	155	2.32223521
0.916961	0.1127783	155	1.80404217
1.553138	0.1251131	155	0.01676383
1.935193	0.2307099	155	0.67670627
1.254544	0.1027913	155	2.26038083
1.095861	0.0975375	155	0.26267545
1.325806	0.1053973	155	1.65314953
1.881391	0.1903164	155	2.47381917
0.109598	0.1139234	155	1.50456792
0.527028	0.2449281	155	0.11420200
1.531294	0.1931336	155	2.05653799
1.861270	0.1956266	155	0.62466223
1.667057	0.1216838	155	1.63298781
1.052938	0.0920678	155	1.11290357
1.174500	0.1953507	155	1.16511208
1.400978	0.1854658	155	1.15235376
0.214894	0.2765875	155	0.16315571
1.196321	0.0990475	155	1.22798862
1.968285	0.1541770	155	1.46745234
1.133710	0.1682984	155	0.93131381
0.803289	0.0907922	155	0.09415431
0.939759	0.1619056	155	2.76280063
0.837204	0.1777049	155	1.95221196
0.830233	0.0862842	155	1.89661801
1.028392	0.2642916	155	1.00082454
0.688449	0.2168132	155	2.35109235
1.281130	0.2367988	155	0.85645885
1.336362	0.2528028	155	0.40233143
1.484403	0.1370991	155	0.02804677
0.733190	0.2750795	155	1.45913294
0.354855	0.2060257	155	0.68086220
0.118242	0.0818736	155	1.36599794
1.025477	0.1772961	155	2.51709580
0.534069	0.2040576	155	1.39470624
1.279780	0.1253567	155	0.13491967
0.964925	0.1711703	155	2.66593585
1.694944	0.2478493	155	2.85877326
0.984732	0.1731467	155	1.06649903
0.186524	0.2575629	155	1.20569322
1.143645	0.1612476	155	2.06841093
1.909562	0.1899131	155	1.37629884
0.775436	0.1513498	155	2.14382022
0.863208	0.1602773	155	0.33108559
1.061550	0.2207583	155	1.35884155
1.411589	0.1812576	155	2.39313383
0.971472	0.0963835	155	0.60475286
0.310644	0.2179051	155	2.67959266
0.125156	0.1021589	155	0.90942795
1.796358	0.1706031	155	2.53513085
1.684584	0.2395117	155	1.17997789
1.706741	0.2585751	155	0.10460348
0.847233	0.1406611	155	0.48609097
1.046807	0.2469669	155	2.70588907
1.633997	0.2490325	155	2.23844489
0.363237	0.1585815	155	1.49629732
1.449632	0.1123373	155	2.42257022
1.546745	0.2603546	155	0.41514204
0.300835	0.1161001	155	2.13157529
1.893585	0.2292488	155	2.28388429
1.829252	0.1797380	155	0.13291165
1.169451	0.2413283	155	2.83170973
0.368049	0.1076017	155	1.60223757
0.860394	0.2323340	155	2.72833661
1.397890	0.0887915	155	1.68992090
1.315425	0.1866561	155	2.56545702
1.829539	0.2618776	155	1.92158018
0.590143	0.1926943	155	2.73133787
0.324678	0.1646664	155	2.26870742
0.251042	0.2510210	155	2.76827739
0.439669	0.2399621	155	0.23959329
0.705926	0.2456808	155	0.53772232
0.488417	0.2364427	155	0.95688363
1.997292	0.1082730	155	0.61501681
0.220444	0.1598961	155	0.18838626
1.766929	0.1973459	155	2.63192354
1.357934	0.2165474	155	2.10047039
1.123077	0.2621113	155	0.03345579
0.613856	0.2313530	155	1.61591086
1.941888	0.1316707	155	2.90859515
1.506265	0.1786356	155	2.21917440
0.239631	0.2645639	155	0.04942870
1.193625	0.1438223	155	1.72764137
1.640066	0.2554062	155	0.46912607
0.397080	0.2199151	155	1.18550283
0.702102	0.2103673	155	2.08242043
0.464361	0.1877492	155	1.02316455
0.173859	0.2739036	155	2.58651561
0.582437	0.1590645	155	0.76312147
1.387392	0.0876326	155	2.03123948
1.785465	0.1481971	155	1.88084597
1.290070	0.1307884	155	1.12429553
0.162996	0.2153985	155	1.26700507
0.902445	0.0883813	155	1.53298120
1.739403	0.2085159	155	2.33022513
0.714039	0.2706694	155	0.27919322
1.526602	0.2524938	155	0.96904871
0.169135	0.1821777	155	1.75028244
1.812018	0.2354000	155	0.62008584
0.872706	0.0986495	155	2.77219528
1.159877	0.1445885	155	2.01941949
1.270219	0.1431425	155	1.22147437
1.061057	0.1395661	155	1.67326015
1.462395	0.1212672	155	1.96137411
0.813370	0.2789308	155	1.84805193
1.764952	0.2145855	155	1.51563076
0.766419	0.2301325	155	1.73304873
0.674666	0.0872621	155	2.62807797
1.993558	0.1916269	155	1.05376519
1.638619	0.2032035	155	1.24665825
1.035276	0.1810377	155	0.20034786
0.520590	0.1887288	155	0.56899828
0.697101	0.2235104	155	0.49233180
0.413788	0.1507543	155	1.68556232
1.836147	0.1502498	155	2.98982679
0.189103	0.2067563	155	1.89949248
1.295592	0.1767874	155	1.45310036
0.236808	0.1491271	155	1.03431550
0.371478	0.1735952	155	1.47677315
0.794775	0.2210605	155	0.66409092
1.624871	0.2006023	155	0.94090535
1.115557	0.1242307	155	1.83861438
1.647728	0.1131607	155	2.33522685
1.041281	0.2356642	155	0.14254717
0.222763	0.2627638	155	1.88776613
1.520991	0.2327013	155	2.28877156
0.268225	0.1724443	155	0.21655204
1.979848	0.0943969	155	0.42782389
1.000507	0.2282913	155	1.92316135
0.619218	0.2404120	155	2.40812605
1.869788	0.0850187	155	2.44452873
0.432406	0.2429733	155	0.26636651
1.889454	0.1791900	155	0.53056278
0.419967	0.0976825	155	0.81832227
0.105351	0.2779586	155	1.04158013
1.733583	0.1748917	155	0.50412110
1.142198	0.1632768	155	2.96733323
0.101330	0.1114777	155	1.17311443
1.853441	0.1149979	155	0.00875419
0.205832	0.1110267	155	2.57952795
1.330344	0.1581909	155	2.04757528
1.373592	0.0805420	155	2.19146047
0.910655	0.2044276	155	0.51618792
1.841255	0.2204767	155	1.86733684
0.511460	0.2318052	155	2.10734601
1.823195	0.1896459	155	2.27791492
1.068864	0.2418890	155	1.64568816
0.344679	0.2141733	155	0.00279362
0.649384	0.1653256	155	2.42723436
0.887021	0.2632886	155	2.01015239
1.287220	0.1560141	155	1.27912637
0.561322	0.2388051	155	2.75095274
0.131930	0.2613640	155	0.30789466
0.893534	0.1171231	155	2.45477134
1.263312	0.1521734	155	0.38477010
0.958863	0.1968891	155	1.75333646
1.300417	0.1378219	155	0.86770640
0.924690	0.1629286	155	2.04302243
1.408241	0.2049592	155	0.75051726
0.558068	0.1301170	155	1.78023353
0.844412	0.0833258	155	1.25166826
0.444254	0.2023429	155	1.19208154
1.564161	0.1753333	155	0.72169672
1.672295	0.1593016	155	0.54469862
1.593184	0.2063361	155	2.31298166
0.490939	0.1667825	155	2.95186477
0.497253	0.1281044	155	2.57442416
0.698596	0.2516451	155	1.40687938
0.840371	0.2455106	155	1.69425385
1.099448	0.1981660	155	1.77499072
1.075936	0.1220024	155	0.94393277
1.151759	0.1580723	155	0.63237582
1.604493	0.1714206	155	1.17171964
0.241735	0.1825528	155	2.93049188
0.485554	0.2383276	155	1.57863239
1.731711	0.2275417	155	1.53850739
1.185919	0.1205138	155	1.66042105
0.930173	0.1554063	155	1.71517420
1.900724	0.2695072	155	1.13365849
1.391143	0.1457801	155	0.92471287
1.804679	0.2157600	155	1.47118389
1.712355	0.2361087	155	0.98556729
1.215322	0.2495579	155	2.03900320
0.752814	0.1977077	155	2.68988361
0.637066	0.1010897	155	2.34342769
0.943961	0.1542601	155	2.54354503
1.917561	0.1486273	155	1.76549000
0.727077	0.1364684	155	1.76306408
1.727162	0.2596446	155	1.11543104
0.660878	0.1686847	155	1.03052262
0.318462	0.2713640	155	0.39704431
0.126108	0.2685008	155	2.82899400
0.287217	0.0996831	155	2.56774183
0.855423	0.2689378	155	0.88550978
1.077008	0.1828547	155	0.34294185
1.108634	0.2774447	155	0.29424405
1.540090	0.1425206	155	1.59307950
